Code,Omschrijving,Num_bedek
"a",,1.5000000000000000e+01
"ac",,1.8000000000000000e+01
"ad",,2.2000000000000000e+01
"c",,3.0000000000000000e+01
"cd",,4.0000000000000000e+01
"d",,6.0000000000000000e+01
"f",,8.0000000000000000e+00
"fa",,9.0000000000000000e+00
"fc",,1.0000000000000000e+01
"fd",,1.2000000000000000e+01
"la",,9.0000000000000000e+00
"lc",,1.5000000000000000e+01
"ld",,2.2000000000000000e+01
"lf",,3.0000000000000000e+00
"lo",,1.0000000000000000e+00
"o",,3.0000000000000000e+00
"oa",,4.0000000000000000e+00
"oc",,5.0000000000000000e+00
"od",,6.0000000000000000e+00
"r",,1.0000000000000000e+00
"ro",,1.0000000000000000e+00
"s",,1.0000000000000000e+00
